timestamp,value
1711455300,72.3355481727
1711455600,69.54
1711455900,70.5282392026
1711456200,72.219269103
1711456500,74.5933333333
1711456800,74.1627906977
1711457100,77.2
1711457400,75.5448504983
1711457700,74.4584717608
1711458000,73.5066666666
1711458300,75.5415282392
1711458600,81.99
1711458900,79.3986710963
1711459200,78.9033333333
1711459500,77.4285714285
1711459800,76.8504983388
1711460100,78.5233333333
1711460400,79.4518272425
1711460700,78.6233333333
1711461000,79.4352159468
1711461300,76.6677740864
1711461600,76.0166666666
1711461900,76.4053156146
1711462200,78.3266666666
1711462500,76.6212624584
1711462800,75.5481727574
1711463100,74.9866666666
1711463400,74.8870431893
1711463700,72.64
1711464000,74.3853820598
1711464300,70.6312292359
1711464600,69.75
1711464900,66.73089701
1711465200,66.4166666667
1711465500,67.9169435216
1711465800,68.3533333333
1711466100,62.757475083
1711466400,60.6744186046
1711466700,58.6478405316
1711467000,56.8106312292
1711467300,57.0365448505
1711467600,53.3222591362
1711467900,52.5866666667
1711468200,51.3820598007
1711468500,49.8903654485
1711468800,47.1528239203
1711469100,48.89
1711469400,48.7441860465
1711469700,46.2259136213
1711470000,40.67
1711470300,39.950166112956
1711470600,39.1395348837
1711470900,39.1561461794
1711471200,38.6333333333
1711471500,37.5249169435
1711471800,33.6046511628
1711472100,33.4633333333
1711472400,31.6212624585
1711472700,30.6079734219
1711473000,28.1295681063
1711473300,27.04
1711473600,26.2591362126
1711473900,26.49
1711474200,25.913621262458
1711474500,25.0531561462
1711474800,25.316666666666
1711475100,23.142857142857
1711475400,23.528239202657
1711475700,22.70099667774
1711476000,21.365448505
1711476300,22.026666666666
1711476600,20.777408637873
1711476900,20.4485049834
1711477200,20.794019933554
1711477500,20.17
1711477800,20.1295681063
1711478100,19.219269103
1711478400,18.43853820598
1711478700,17.74
1711479000,17.7342192691
1711479300,16.956810631229
1711479600,15.246666666666
1711479900,14.212624584717
1711480200,13.787375415282
1711480500,12.263333333333
1711480800,12.235880398671
1711481100,11.8172757475
1711481400,11.04
1711481700,14.1295681063
1711482000,10.584717607973
1711482300,9.46
1711482600,8.674418604651
1711482900,7.757475083056
1711483200,7.4
1711483500,7.059800664451
1711483800,6.179401993355
1711484100,5.716666666666
1711484400,5.28903654485
1711484700,5.059800664451
1711485000,5.346666666666
1711485300,4.528239202657
1711485600,11.0830564784
1711485900,6.441860465116
1711486200,5.143333333333
1711486500,4.561461794019
1711486800,4.033333333333
1711487100,4.006644518272
1711487400,3.940199335548
1711487700,3.316666666666
1711488000,3.461794019933
1711488300,3.653333333333
1711488600,3.554817275747
1711488900,2.926910299003
1711489200,3.023255813953
1711489500,12.53
1711489800,5.953488372093
1711490100,3.099667774086
1711490400,2.71
1711490700,2.8073089701
1711491000,2.75
1711491300,2.312292358803
1711491600,2.28903654485
1711491900,1.926666666666
1711492200,2.1561461794
1711492500,2.189368770764
1711492800,2.106312292358
1711493100,3.756666666666
1711493400,2.033222591362
1711493700,1.687707641196
1711494000,1.88
1711494300,2.119601328903
1711494600,1.744186046511
1711494900,1.786666666666
1711495200,1.94684385382
1711495500,1.627906976744
1711495800,1.706666666666
1711496100,1.471760797342
1711496400,1.88
1711496700,1.378737541528
1711497000,1.514950166112
1711497300,1.496666666666
1711497600,1.747508305647
1711498200,1.53
1711498500,1.4219269103
1711498800,1.471760797342
1711499100,1.29
1711499400,1.35880398671
1711499700,1.305647840531
1711500000,1.34
1711500300,1.235880398671
1711500600,1.378737541528
1711500900,1.196666666666
1711501200,1.255813953488
1711501500,1.348837209302
1711501800,1.31
1711502100,1.102990033222
1711502400,1.102990033222
1711502700,1.222591362126
1711503000,1.176079734219
1711503300,1.279069767441
1711503600,1.263333333333
1711503900,1.222591362126
1711504200,1.279069767441
1711504500,1.076666666666
1711504800,1.099667774086
1711505100,1.222591362126
1711505400,1.383333333333
1711505700,1.302325581395
1711506000,1.19
1711506300,1.299003322259
1711506600,1.179401993355
1711506900,1.179401993355
1711507200,1.21
1711507500,1.169435215946
1711507800,1.388704318936
1711508100,1.27
1711508400,1.202657807308
1711508700,1.463333333333
1711509000,1.43853820598
1711509300,2.046511627906
1711509600,3.39
1711509900,1.475083056478
1711510200,1.405315614617
1711510500,1.5
1711510800,1.428571428571
1711511100,1.428571428571
1711511400,1.867109634551
1711511700,1.456666666666
1711512000,1.348837209302
1711512300,1.716666666666
1711512600,1.65780730897
1711512900,1.65780730897
1711513200,1.67
1711513500,1.906976744186
1711513800,1.750830564784
1711514100,2.023333333333
1711514400,1.893687707641
1711514700,2.136212624584
1711515000,2.256666666666
1711515300,2.740863787375
1711515600,2.740863787375
1711515900,3.498338870431
1711516200,6.286666666666
1711516500,6.26245847176
1711516800,4.193333333333
1711517100,3.960132890365
1711517400,4.611295681063
1711517700,5.373333333333
1711518000,5.764119601328
1711518300,5.926910299
1711518600,7.0
1711518900,7.693333333333
1711519200,8.6511627907
1711519500,12.4318936877
1711519800,12.4318936877
1711520100,15.1196013289
1711520400,16.606666666666
1711520700,16.31561461794
1711521000,17.132890365448
1711521300,18.960132890365
1711521600,25.4518272425
1711521900,27.0365448505
1711522200,28.763333333333
1711522500,32.1262458472
1711522800,34.8604651163
1711523100,53.7906976744
1711523400,60.1433333333
1711523700,60.5548172757
1711524000,61.4019933555
1711524300,61.4019933555
1711524600,63.2566666667
1711524900,65.7740863787
1711525200,69.3986710963
1711525500,71.12
1711525800,71.488372093
1711526100,75.5847176079
1711526400,77.1760797342
1711526700,88.5233333333
1711527000,94.099667774
1711527300,97.17
1711527600,95.7342192691
